condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,13.20508237706963,None,space,28.34952521196101,13.20508237706963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,go,1go1.png,,,0,0,0,1,,,,,,,,,,,,,,,42.62753425503615,None,41.64210775005631,42.644652042072266,space,0.6812770280521363,42.62753425503615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,nogo,1nogov1.png,,,0,1,1,16,,,,,,,,,,,,,,,44.33255553699564,46.33803182700649,43.3473002120154,44.34902880201116,None,,44.33255553699564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,go,1go3.png,,,0,2,2,3,,,,,,,,,,,,,,,48.3431611120468,None,47.35713268700056,48.35972514702007,space,0.442672147997655,48.3431611120468,47.35713268700056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,nogo,1nogo4.png,,,0,3,3,14,,,,,,,,,,,,,,,49.81380954501219,51.81913704704493,48.82791866501793,49.83044788008556,None,,49.81380954501219,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,nogo,1nogov.png,,,0,4,4,15,,,,,,,,,,,,,,,53.82444712205324,55.829939037095755,52.83699740609154,53.84142877010163,None,,53.82444712205324,52.83699740609154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,nogo,1nogov4.png,,,0,5,5,19,,,,,,,,,,,,,,,57.835283352062106,59.84062603209168,56.84937432501465,57.851848307065666,None,,57.835283352062106,56.84937432501465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,nogo,1nogo3.png,,,0,6,6,13,,,,,,,,,,,,,,,61.845827422104776,63.8512932700105,60.86234770005103,61.86279668007046,None,,61.845827422104776,60.86234770005103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,go,1gov4.png,,,0,7,7,9,,,,,,,,,,,,,,,65.85658553708345,None,64.87057185207959,65.87327682506293,space,0.4894716569688171,65.85658553708345,64.87057185207959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,go,1gov2.png,,,0,8,8,7,,,,,,,,,,,,,,,67.36067145701963,None,66.39149887207896,67.39405086508486,space,0.48893437208607793,67.36067145701963,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,nogo,1nogo2.png,,,0,9,9,12,,,,,,,,,,,,,,,68.86465904710349,70.86995103000663,67.8953670670744,68.89827454008628,None,,68.86465904710349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,go,1go4.png,,,0,10,10,4,,,,,,,,,,,,,,,72.85869312507566,None,71.88958592002746,72.89210303709842,space,0.4154564280761406,72.85869312507566,71.88958592002746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,nogo,1nogo1.png,,,0,11,11,11,,,,,,,,,,,,,,,74.29585908504669,76.30126344505697,73.31006833200809,74.3126463900553,None,,74.29585908504669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,go,1gov3.png,,,0,12,12,8,,,,,,,,,,,,,,,78.2900366850663,None,77.32069512503222,78.32328858203255,space,0.3987343779299408,78.2900366850663,77.32069512503222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
salient,go,1gov1.png,,,0,13,13,6,,,,,,,,,,,,,,,79.71042216010392,None,78.72444577002898,79.72711326007266,space,0.3815034549916163,79.71042216010392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,go,1go2.png,,,0,14,14,2,,,,,,,,,,,,,,,81.11415772000328,None,80.12801207508892,81.13092557701748,space,0.3737036669626832,81.11415772000328,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
nonsalient,nogo,1nogo.png,,,0,15,15,10,,,,,,,,,,,,,,,82.50114837707952,84.5063769920962,81.53168885002378,82.53441147203557,None,,82.50114837707952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,001,2021_Dec_01_1443,psychophysics_project,2021.2.3,59.775076573534754,
