condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,12.548039030982181,None,space,23.0608246329939,12.548039030982181,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,go,1gov1.png,,,0,0,0,6,,,,,,,,,,,,,,,36.674174273968674,None,35.70489325898234,36.707474480965175,space,0.7342628199839965,36.674174273968674,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,go,1go.png,,,0,1,1,0,,,,,,,,,,,,,,,38.42887794401031,None,37.44415916095022,38.44563438592013,space,0.6093566800700501,38.42887794401031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,nogo,1nogo4.png,,,0,2,2,14,,,,,,,,,,,,,,,40.04982550593559,42.05524748901371,39.08280319394544,40.08316418598406,None,,40.04982550593559,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,nogo,1nogov3.png,,,0,3,3,18,,,,,,,,,,,,,,,44.06068316893652,46.06591576396022,43.0746029089205,44.0773062139051,None,,44.06068316893652,43.0746029089205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,go,1gov3.png,,,0,4,4,8,,,,,,,,,,,,,,,48.05464242899325,None,47.085352760972455,48.088024313910864,space,0.3830699499230832,48.05464242899325,47.085352760972455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,go,1gov.png,,,0,5,5,5,,,,,,,,,,,,,,,49.458654230926186,None,48.47239127091598,49.474962588981725,space,0.3735832730308175,49.458654230926186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,go,1go3.png,,,0,6,6,3,,,,,,,,,,,,,,,50.8443361739628,None,49.876344863907434,50.87760741496459,space,0.4427493050461635,50.8443361739628,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,go,1go2.png,,,0,7,7,2,,,,,,,,,,,,,,,52.31600895093288,None,51.33015123591758,52.332698953920044,space,0.372977928025648,52.31600895093288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,nogo,1nogov1.png,,,0,8,8,16,,,,,,,,,,,,,,,53.703010883997194,55.70835018099751,52.73372064600699,53.736447911011055,None,,53.703010883997194,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,go,1gov2.png,,,0,9,9,7,,,,,,,,,,,,,,,57.69715389900375,None,56.72774879599456,57.730653245933354,space,0.35133097996003926,57.69715389900375,56.72774879599456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,nogo,1nogo2.png,,,0,10,10,12,,,,,,,,,,,,,,,59.06681506091263,61.07272702595219,58.0981043059146,59.10085389390588,None,,59.06681506091263,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,nogo,1nogov2.png,,,0,11,11,17,,,,,,,,,,,,,,,63.06130996590946,65.0666366359219,62.09230904094875,63.09490803594235,None,,63.06130996590946,62.09230904094875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,go,1go1.png,,,0,12,12,1,,,,,,,,,,,,,,,67.05532451090403,None,66.08613376901485,67.08897103392519,space,0.35970466304570436,67.05532451090403,66.08613376901485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,go,1gov4.png,,,0,13,13,9,,,,,,,,,,,,,,,68.4423693359131,None,67.45649380597752,68.45913673390169,space,0.3263664520345628,68.4423693359131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,nogo,1nogo.png,,,0,14,14,10,,,,,,,,,,,,,,,69.79599363892339,71.80144909594674,68.81012411101256,69.81268082093447,None,,69.79599363892339,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,nogo,1nogov.png,,,0,15,15,15,,,,,,,,,,,,,,,73.80666899890639,75.81200379901566,72.8207429460017,73.82352643390186,None,,73.80666899890639,72.8207429460017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,go,1go4.png,,,0,16,16,4,,,,,,,,,,,,,,,77.8175549309235,None,76.83142482396215,77.83414264395833,space,0.40464575006626546,77.8175549309235,76.83142482396215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,nogo,1nogo3.png,,,0,17,17,13,,,,,,,,,,,,,,,79.23796866391785,81.24316307890695,78.2686163840117,79.27136479900219,None,,79.23796866391785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,nogo,1nogov4.png,,,0,18,18,19,,,,,,,,,,,,,,,83.24857382394839,85.2540632809978,82.26261627092026,83.26535506092478,None,,83.24857382394839,82.26261627092026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,nogo,1nogo1.png,,,0,19,19,11,,,,,,,,,,,,,,,87.24270336097106,89.24795435392298,86.27345098392107,87.2759826509282,None,,87.24270336097106,86.27345098392107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.25067728897557,None,space,8.118624332943,90.25067728897557,None,,,,,,,,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,nogo,2nogo3.png,,,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,98.4223920739023,99.42516365391202,99.40839672891889,101.41381457599346,None,99.40839672891889,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,go,2gov.png,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,102.41657366091385,103.41911476897076,103.40250023896806,None,space,103.40250023896806,None,0.3792708500986919,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,go,2go3.png,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,103.8202348339837,104.82294062094297,104.80629495391622,None,space,104.80629495391622,None,0.35412014194298536,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,go,2gov2.png,,,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,105.20728004095145,106.20985690597445,106.19324361893814,None,space,106.19324361893814,None,0.3280177280539647,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,nogo,2nogo2.png,,,,,,,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,106.56090448400937,107.5634760109242,107.54687829397153,109.55221097101457,None,107.54687829397153,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,go,2go4.png,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,110.57159753597807,111.57394119899254,111.55753850401379,None,space,111.55753850401379,110.57159753597807,0.3563092080876231,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,nogo,2nogov2.png,,,,,,,0,6,6,17,,,,,,,,,,,,,,,,,,,,,,,,,111.9585324539803,112.96131393394899,112.94467565091327,114.9501536609605,None,112.94467565091327,None,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,nogo,2nogov.png,,,,,,,0,7,7,15,,,,,,,,,,,,,,,,,,,,,,,,,115.9694878240116,116.97212669393048,116.95540983590763,118.96078394399956,None,116.95540983590763,115.9694878240116,,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
salient,go,2gov4.png,,,,,,,0,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,119.98001185897738,120.98261732899118,120.96622822899371,None,space,120.96622822899371,119.98001185897738,0.3703058250248432,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
nonsalient,go,2go1.png,,,,,,,0,9,9,1,,,,,,,,,,,,,,,,,,,,,,,,,121.3835718309274,122.3864392839605,122.36970703396946,None,space,122.36970703396946,None,0.35974802693817765,,,,,,,,,,,,,,,,,4,001,2021_Dec_01_1426,psychophysics_project,2021.2.3,59.81416098635664,
