condition,task,stim_file,type,shape,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,text2.started,text2.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,key_resp_2.rt,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text_2.started,text_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,key_resp_3.rt,text_6.started,text_6.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_4.started,text_4.stopped,image_3.started,image_3.stopped,text_5.started,text_5.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,15.795061399927363,None,space,34.438330410048366,15.795061399927363,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,nogo,1nogov1.png,,,0,0,0,16,,,,,,,,,,,,,,,51.3066365479026,53.31210404494777,50.337535628001206,51.34012496797368,None,51.3066365479026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,nogo,1nogo4.png,,,0,1,1,14,,,,,,,,,,,,,,,55.267244039918296,57.27266537793912,54.28222149796784,55.28411905292887,None,55.267244039918296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,nogo,1nogo.png,,,0,2,2,10,,,,,,,,,,,,,,,59.2614815949928,61.26664136792533,58.276994002982974,59.278096064925194,None,59.2614815949928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,go,1go3.png,,,0,3,3,3,,,,,,,,,,,,,,,63.27187703293748,None,62.28603713493794,63.28866304294206,space,63.27187703293748,None,0.6656224069884047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,nogo,1nogo3.png,,,0,4,4,13,,,,,,,,,,,,,,,64.94307349296287,66.9486817579018,63.973651542910375,64.9767176999012,None,64.94307349296287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,nogo,1nogo1.png,,,0,5,5,11,,,,,,,,,,,,,,,68.95375448500272,70.95918015495408,67.96793864492793,68.97022654500324,None,68.95375448500272,67.96793864492793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,nogo,1nogov2.png,,,0,6,6,17,,,,,,,,,,,,,,,72.96457241789903,74.9698141249828,71.97781027492601,72.98066019290127,None,72.96457241789903,71.97781027492601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,go,1go1.png,,,0,7,7,1,,,,,,,,,,,,,,,76.95845183299389,None,75.98905787291005,76.99197355797514,space,76.95845183299389,75.98905787291005,0.6815009380225092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,go,1go.png,,,0,8,8,0,,,,,,,,,,,,,,,78.64627497293986,None,77.6772131799953,78.67989904992282,space,78.64627497293986,None,0.6834021250251681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
nonsalient,go,1go4.png,,,0,9,9,4,,,,,,,,,,,,,,,80.35092647490092,None,79.36505501996726,80.36762200994417,space,80.35092647490092,None,0.42558815493248403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,nogo,1nogov4.png,,,0,10,10,19,,,,,,,,,,,,,,,81.78812786296476,83.7934027579613,80.81879949290305,81.82143889297731,None,81.78812786296476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
salient,nogo,1nogov.png,,,0,11,11,15,,,,,,,,,,,,,,,85.79885710799135,87.80426441994496,84.81302511494141,85.81559175997972,None,85.79885710799135,84.81302511494141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2021_Dec_01_1947,psychophysics_project,2021.2.3,59.784642413582766,
